TIP_105;USO1;TIPOLOG1;TIPOLOG2;CATEGORIA;CATEGOR2;COEF
0111;RESIDENCIAL;PLURIFAMILIAR;EDIFICACIÓN ABIERTA;4;7;1.05
0111A;RESIDENCIAL;PLURIFAMILIAR;EDIFICACIÓN ABIERTA;1;1;2.475
0111B;RESIDENCIAL;PLURIFAMILIAR;EDIFICACIÓN ABIERTA;1;2;2.145
0111C;RESIDENCIAL;PLURIFAMILIAR;EDIFICACIÓN ABIERTA;1;3;1.8975
01111;RESIDENCIAL;PLURIFAMILIAR;EDIFICACIÓN ABIERTA;1;4;1.65
01112;RESIDENCIAL;PLURIFAMILIAR;EDIFICACIÓN ABIERTA;2;5;1.4
01113;RESIDENCIAL;PLURIFAMILIAR;EDIFICACIÓN ABIERTA;3;6;1.2
01114;RESIDENCIAL;PLURIFAMILIAR;EDIFICACIÓN ABIERTA;4;7;1.05
01115;RESIDENCIAL;PLURIFAMILIAR;EDIFICACIÓN ABIERTA;5;8;0.95
01116;RESIDENCIAL;PLURIFAMILIAR;EDIFICACIÓN ABIERTA;6;9;0.85
01117;RESIDENCIAL;PLURIFAMILIAR;EDIFICACIÓN ABIERTA;7;10;0.75
01118;RESIDENCIAL;PLURIFAMILIAR;EDIFICACIÓN ABIERTA;8;11;0.65
01119;RESIDENCIAL;PLURIFAMILIAR;EDIFICACIÓN ABIERTA;9;12;0.55
0112;RESIDENCIAL;PLURIFAMILIAR;EN MANZANA CERRADA;4;7;1
0112A;RESIDENCIAL;PLURIFAMILIAR;EN MANZANA CERRADA;1;1;2.4
0112B;RESIDENCIAL;PLURIFAMILIAR;EN MANZANA CERRADA;1;2;2.08
0112C;RESIDENCIAL;PLURIFAMILIAR;EN MANZANA CERRADA;1;3;1.84
01121;RESIDENCIAL;PLURIFAMILIAR;EN MANZANA CERRADA;1;4;1.6
01122;RESIDENCIAL;PLURIFAMILIAR;EN MANZANA CERRADA;2;5;1.35
01123;RESIDENCIAL;PLURIFAMILIAR;EN MANZANA CERRADA;3;6;1.15
01124;RESIDENCIAL;PLURIFAMILIAR;EN MANZANA CERRADA;4;7;1
01125;RESIDENCIAL;PLURIFAMILIAR;EN MANZANA CERRADA;5;8;0.9
01126;RESIDENCIAL;PLURIFAMILIAR;EN MANZANA CERRADA;6;9;0.8
01127;RESIDENCIAL;PLURIFAMILIAR;EN MANZANA CERRADA;7;10;0.7
01128;RESIDENCIAL;PLURIFAMILIAR;EN MANZANA CERRADA;8;11;0.6
01129;RESIDENCIAL;PLURIFAMILIAR;EN MANZANA CERRADA;9;12;0.5
0113;RESIDENCIAL;PLURIFAMILIAR;GARAJE TRASTERO LOCAL EN ESTRUCTURA;4;7;0.53
0113A;RESIDENCIAL;PLURIFAMILIAR;GARAJE TRASTERO LOCAL EN ESTRUCTURA;1;1;1.2
0113B;RESIDENCIAL;PLURIFAMILIAR;GARAJE TRASTERO LOCAL EN ESTRUCTURA;1;2;1.04
0113C;RESIDENCIAL;PLURIFAMILIAR;GARAJE TRASTERO LOCAL EN ESTRUCTURA;1;3;0.92
01131;RESIDENCIAL;PLURIFAMILIAR;GARAJE TRASTERO LOCAL EN ESTRUCTURA;1;4;0.8
01132;RESIDENCIAL;PLURIFAMILIAR;GARAJE TRASTERO LOCAL EN ESTRUCTURA;2;5;0.7
01133;RESIDENCIAL;PLURIFAMILIAR;GARAJE TRASTERO LOCAL EN ESTRUCTURA;3;6;0.62
01134;RESIDENCIAL;PLURIFAMILIAR;GARAJE TRASTERO LOCAL EN ESTRUCTURA;4;7;0.53
01135;RESIDENCIAL;PLURIFAMILIAR;GARAJE TRASTERO LOCAL EN ESTRUCTURA;5;8;0.46
01136;RESIDENCIAL;PLURIFAMILIAR;GARAJE TRASTERO LOCAL EN ESTRUCTURA;6;9;0.4
01137;RESIDENCIAL;PLURIFAMILIAR;GARAJE TRASTERO LOCAL EN ESTRUCTURA;7;10;0.3
01138;RESIDENCIAL;PLURIFAMILIAR;GARAJE TRASTERO LOCAL EN ESTRUCTURA;8;11;0.26
01139;RESIDENCIAL;PLURIFAMILIAR;GARAJE TRASTERO LOCAL EN ESTRUCTURA;9;12;0.2
0121;RESIDENCIAL;UNIFAMILIAR;AISLADA O PAREADA;4;7;1.25
0121A;RESIDENCIAL;UNIFAMILIAR;AISLADA O PAREADA;1;1;3.225
0121B;RESIDENCIAL;UNIFAMILIAR;AISLADA O PAREADA;1;2;2.795
0121C;RESIDENCIAL;UNIFAMILIAR;AISLADA O PAREADA;1;3;2.4725
01211;RESIDENCIAL;UNIFAMILIAR;AISLADA O PAREADA;1;4;2.15
01212;RESIDENCIAL;UNIFAMILIAR;AISLADA O PAREADA;2;5;1.8
01213;RESIDENCIAL;UNIFAMILIAR;AISLADA O PAREADA;3;6;1.45
01214;RESIDENCIAL;UNIFAMILIAR;AISLADA O PAREADA;4;7;1.25
01215;RESIDENCIAL;UNIFAMILIAR;AISLADA O PAREADA;5;8;1.1
01216;RESIDENCIAL;UNIFAMILIAR;AISLADA O PAREADA;6;9;1
01217;RESIDENCIAL;UNIFAMILIAR;AISLADA O PAREADA;7;10;0.9
01218;RESIDENCIAL;UNIFAMILIAR;AISLADA O PAREADA;8;11;0.8
01219;RESIDENCIAL;UNIFAMILIAR;AISLADA O PAREADA;9;12;0.7
0122;RESIDENCIAL;UNIFAMILIAR;EN LÍNEA O MANZANA CERRADA;4;7;1.15
0122A;RESIDENCIAL;UNIFAMILIAR;EN LÍNEA O MANZANA CERRADA;1;1;3
0122B;RESIDENCIAL;UNIFAMILIAR;EN LÍNEA O MANZANA CERRADA;1;2;2.6
0122C;RESIDENCIAL;UNIFAMILIAR;EN LÍNEA O MANZANA CERRADA;1;3;2.3
01221;RESIDENCIAL;UNIFAMILIAR;EN LÍNEA O MANZANA CERRADA;1;4;2
01222;RESIDENCIAL;UNIFAMILIAR;EN LÍNEA O MANZANA CERRADA;2;5;1.65
01223;RESIDENCIAL;UNIFAMILIAR;EN LÍNEA O MANZANA CERRADA;3;6;1.35
01224;RESIDENCIAL;UNIFAMILIAR;EN LÍNEA O MANZANA CERRADA;4;7;1.15
01225;RESIDENCIAL;UNIFAMILIAR;EN LÍNEA O MANZANA CERRADA;5;8;1.05
01226;RESIDENCIAL;UNIFAMILIAR;EN LÍNEA O MANZANA CERRADA;6;9;0.95
01227;RESIDENCIAL;UNIFAMILIAR;EN LÍNEA O MANZANA CERRADA;7;10;0.85
01228;RESIDENCIAL;UNIFAMILIAR;EN LÍNEA O MANZANA CERRADA;8;11;0.75
01229;RESIDENCIAL;UNIFAMILIAR;EN LÍNEA O MANZANA CERRADA;9;12;0.65
0123;RESIDENCIAL;UNIFAMILIAR;GARAJES PORCHES (PB);4;7;0.65
0123A;RESIDENCIAL;UNIFAMILIAR;GARAJES PORCHES (PB);1;1;1.35
0123B;RESIDENCIAL;UNIFAMILIAR;GARAJES PORCHES (PB);1;2;1.17
0123C;RESIDENCIAL;UNIFAMILIAR;GARAJES PORCHES (PB);1;3;1.035
01231;RESIDENCIAL;UNIFAMILIAR;GARAJES PORCHES (PB);1;4;0.9
01232;RESIDENCIAL;UNIFAMILIAR;GARAJES PORCHES (PB);2;5;0.85
01233;RESIDENCIAL;UNIFAMILIAR;GARAJES PORCHES (PB);3;6;0.75
01234;RESIDENCIAL;UNIFAMILIAR;GARAJES PORCHES (PB);4;7;0.65
01235;RESIDENCIAL;UNIFAMILIAR;GARAJES PORCHES (PB);5;8;0.6
01236;RESIDENCIAL;UNIFAMILIAR;GARAJES PORCHES (PB);6;9;0.55
01237;RESIDENCIAL;UNIFAMILIAR;GARAJES PORCHES (PB);7;10;0.45
01238;RESIDENCIAL;UNIFAMILIAR;GARAJES PORCHES (PB);8;11;0.4
01239;RESIDENCIAL;UNIFAMILIAR;GARAJES PORCHES (PB);9;12;0.35
0131;RESIDENCIAL;EDIFICACIÓN RURAL;USO EXCLUSIVO DE VIV;4;7;0.9
0131A;RESIDENCIAL;EDIFICACIÓN RURAL;USO EXCLUSIVO DE VIV;1;1;2.025
0131B;RESIDENCIAL;EDIFICACIÓN RURAL;USO EXCLUSIVO DE VIV;1;2;1.755
0131C;RESIDENCIAL;EDIFICACIÓN RURAL;USO EXCLUSIVO DE VIV;1;3;1.5525
01311;RESIDENCIAL;EDIFICACIÓN RURAL;USO EXCLUSIVO DE VIV;1;4;1.35
01312;RESIDENCIAL;EDIFICACIÓN RURAL;USO EXCLUSIVO DE VIV;2;5;1.2
01313;RESIDENCIAL;EDIFICACIÓN RURAL;USO EXCLUSIVO DE VIV;3;6;1.05
01314;RESIDENCIAL;EDIFICACIÓN RURAL;USO EXCLUSIVO DE VIV;4;7;0.9
01315;RESIDENCIAL;EDIFICACIÓN RURAL;USO EXCLUSIVO DE VIV;5;8;0.8
01316;RESIDENCIAL;EDIFICACIÓN RURAL;USO EXCLUSIVO DE VIV;6;9;0.7
01317;RESIDENCIAL;EDIFICACIÓN RURAL;USO EXCLUSIVO DE VIV;7;10;0.6
01318;RESIDENCIAL;EDIFICACIÓN RURAL;USO EXCLUSIVO DE VIV;8;11;0.5
01319;RESIDENCIAL;EDIFICACIÓN RURAL;USO EXCLUSIVO DE VIV;9;12;0.4
0132;RESIDENCIAL;EDIFICACIÓN RURAL;EDIF RURAL ANEXOS;4;7;0.45
0132A;RESIDENCIAL;EDIFICACIÓN RURAL;EDIF RURAL ANEXOS;1;1;1.05
0132B;RESIDENCIAL;EDIFICACIÓN RURAL;EDIF RURAL ANEXOS;1;2;0.91
0132C;RESIDENCIAL;EDIFICACIÓN RURAL;EDIF RURAL ANEXOS;1;3;0.805
01321;RESIDENCIAL;EDIFICACIÓN RURAL;EDIF RURAL ANEXOS;1;4;0.7
01322;RESIDENCIAL;EDIFICACIÓN RURAL;EDIF RURAL ANEXOS;2;5;0.6
01323;RESIDENCIAL;EDIFICACIÓN RURAL;EDIF RURAL ANEXOS;3;6;0.5
01324;RESIDENCIAL;EDIFICACIÓN RURAL;EDIF RURAL ANEXOS;4;7;0.45
01325;RESIDENCIAL;EDIFICACIÓN RURAL;EDIF RURAL ANEXOS;5;8;0.4
01326;RESIDENCIAL;EDIFICACIÓN RURAL;EDIF RURAL ANEXOS;6;9;0.35
01327;RESIDENCIAL;EDIFICACIÓN RURAL;EDIF RURAL ANEXOS;7;10;0.3
01328;RESIDENCIAL;EDIFICACIÓN RURAL;EDIF RURAL ANEXOS;8;11;0.25
01329;RESIDENCIAL;EDIFICACIÓN RURAL;EDIF RURAL ANEXOS;9;12;0.2
0211;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN UNA PLANTA;4;7;0.6
0211A;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN UNA PLANTA;1;1;1.575
0211B;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN UNA PLANTA;1;2;1.365
0211C;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN UNA PLANTA;1;3;1.2075
02111;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN UNA PLANTA;1;4;1.05
02112;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN UNA PLANTA;2;5;0.9
02113;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN UNA PLANTA;3;6;0.75
02114;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN UNA PLANTA;4;7;0.6
02115;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN UNA PLANTA;5;8;0.5
02116;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN UNA PLANTA;6;9;0.45
02117;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN UNA PLANTA;7;10;0.4
02118;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN UNA PLANTA;8;11;0.37
02119;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN UNA PLANTA;9;12;0.35
0212;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN VARIAS PLANTAS;4;7;0.7
0212A;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN VARIAS PLANTAS;1;1;1.725
0212B;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN VARIAS PLANTAS;1;2;1.495
0212C;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN VARIAS PLANTAS;1;3;1.3225
02121;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN VARIAS PLANTAS;1;4;1.15
02122;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN VARIAS PLANTAS;2;5;1
02123;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN VARIAS PLANTAS;3;6;0.85
02124;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN VARIAS PLANTAS;4;7;0.7
02125;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN VARIAS PLANTAS;5;8;0.6
02126;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN VARIAS PLANTAS;6;9;0.55
02127;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN VARIAS PLANTAS;7;10;0.52
02128;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN VARIAS PLANTAS;8;11;0.5
02129;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE FABRICACIÓN EN VARIAS PLANTAS;9;12;0.4
0213;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE ALMACENAMIENTO;4;7;0.5
0213A;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE ALMACENAMIENTO;1;1;1.275
0213B;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE ALMACENAMIENTO;1;2;1.105
0213C;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE ALMACENAMIENTO;1;3;0.9775
02131;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE ALMACENAMIENTO;1;4;0.85
02132;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE ALMACENAMIENTO;2;5;0.7
02133;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE ALMACENAMIENTO;3;6;0.6
02134;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE ALMACENAMIENTO;4;7;0.5
02135;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE ALMACENAMIENTO;5;8;0.45
02136;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE ALMACENAMIENTO;6;9;0.35
02137;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE ALMACENAMIENTO;7;10;0.3
02138;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE ALMACENAMIENTO;8;11;0.25
02139;INDUSTRIAL;NAVE FABRICACION - ALMACENAM;NAVE ALMACENAMIENTO;9;12;0.2
0221;INDUSTRIAL;GARAJE - APARCAMIENTO;GARAJE;4;7;0.7
0221A;INDUSTRIAL;GARAJE - APARCAMIENTO;GARAJE;1;1;1.725
0221B;INDUSTRIAL;GARAJE - APARCAMIENTO;GARAJE;1;2;1.495
0221C;INDUSTRIAL;GARAJE - APARCAMIENTO;GARAJE;1;3;1.3225
02211;INDUSTRIAL;GARAJE - APARCAMIENTO;GARAJE;1;4;1.15
02212;INDUSTRIAL;GARAJE - APARCAMIENTO;GARAJE;2;5;1
02213;INDUSTRIAL;GARAJE - APARCAMIENTO;GARAJE;3;6;0.85
02214;INDUSTRIAL;GARAJE - APARCAMIENTO;GARAJE;4;7;0.7
02215;INDUSTRIAL;GARAJE - APARCAMIENTO;GARAJE;5;8;0.6
02216;INDUSTRIAL;GARAJE - APARCAMIENTO;GARAJE;6;9;0.5
02217;INDUSTRIAL;GARAJE - APARCAMIENTO;GARAJE;7;10;0.4
02218;INDUSTRIAL;GARAJE - APARCAMIENTO;GARAJE;8;11;0.3
02219;INDUSTRIAL;GARAJE - APARCAMIENTO;GARAJE;9;12;0.2
0222;INDUSTRIAL;GARAJE - APARCAMIENTO;APARCAMIENTO;4;7;0.4
0222A;INDUSTRIAL;GARAJE - APARCAMIENTO;APARCAMIENTO;1;1;0.9
0222B;INDUSTRIAL;GARAJE - APARCAMIENTO;APARCAMIENTO;1;2;0.78
0222C;INDUSTRIAL;GARAJE - APARCAMIENTO;APARCAMIENTO;1;3;0.69
02221;INDUSTRIAL;GARAJE - APARCAMIENTO;APARCAMIENTO;1;4;0.6
02222;INDUSTRIAL;GARAJE - APARCAMIENTO;APARCAMIENTO;2;5;0.5
02223;INDUSTRIAL;GARAJE - APARCAMIENTO;APARCAMIENTO;3;6;0.45
02224;INDUSTRIAL;GARAJE - APARCAMIENTO;APARCAMIENTO;4;7;0.4
02225;INDUSTRIAL;GARAJE - APARCAMIENTO;APARCAMIENTO;5;8;0.35
02226;INDUSTRIAL;GARAJE - APARCAMIENTO;APARCAMIENTO;6;9;0.3
02227;INDUSTRIAL;GARAJE - APARCAMIENTO;APARCAMIENTO;7;10;0.2
02228;INDUSTRIAL;GARAJE - APARCAMIENTO;APARCAMIENTO;8;11;0.1
02229;INDUSTRIAL;GARAJE - APARCAMIENTO;APARCAMIENTO;9;12;0.05
0231;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES DE SERVICIO;4;7;1.25
0231A;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES DE SERVICIO;1;1;2.7
0231B;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES DE SERVICIO;1;2;2.34
0231C;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES DE SERVICIO;1;3;2.07
02311;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES DE SERVICIO;1;4;1.8
02312;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES DE SERVICIO;2;5;1.6
02313;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES DE SERVICIO;3;6;1.4
02314;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES DE SERVICIO;4;7;1.25
02315;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES DE SERVICIO;5;8;1.2
02316;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES DE SERVICIO;6;9;1.1
02317;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES DE SERVICIO;7;10;1
02318;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES DE SERVICIO;8;11;0.9
02319;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES DE SERVICIO;9;12;0.8
0232;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES (TRANSPORTE);4;7;1.8
0232A;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES (TRANSPORTE);1;1;3.825
0232B;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES (TRANSPORTE);1;2;3.315
0232C;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES (TRANSPORTE);1;3;2.9325
02321;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES (TRANSPORTE);1;4;2.55
02322;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES (TRANSPORTE);2;5;2.25
02323;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES (TRANSPORTE);3;6;2
02324;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES (TRANSPORTE);4;7;1.8
02325;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES (TRANSPORTE);5;8;1.6
02326;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES (TRANSPORTE);6;9;1.4
02327;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES (TRANSPORTE);7;10;1.25
02328;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES (TRANSPORTE);8;11;1.1
02329;INDUSTRIAL;SERVICIOS DE TRANSPORTE;ESTACIONES (TRANSPORTE);9;12;1
0311;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS MULTIPLES;4;7;1.5
0311A;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS MULTIPLES;1;1;3.525
0311B;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS MULTIPLES;1;2;3.055
0311C;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS MULTIPLES;1;3;2.7025
03111;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS MULTIPLES;1;4;2.35
03112;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS MULTIPLES;2;5;2
03113;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS MULTIPLES;3;6;1.7
03114;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS MULTIPLES;4;7;1.5
03115;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS MULTIPLES;5;8;1.3
03116;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS MULTIPLES;6;9;1.15
03117;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS MULTIPLES;7;10;1
03118;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS MULTIPLES;8;11;0.9
03119;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS MULTIPLES;9;12;0.8
0312;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS UNITARIAS;4;7;1.6
0312A;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS UNITARIAS;1;1;3.825
0312B;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS UNITARIAS;1;2;3.315
0312C;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS UNITARIAS;1;3;2.9325
03121;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS UNITARIAS;1;4;2.55
03122;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS UNITARIAS;2;5;2.2
03123;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS UNITARIAS;3;6;1.85
03124;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS UNITARIAS;4;7;1.6
03125;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS UNITARIAS;5;8;1.4
03126;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS UNITARIAS;6;9;1.25
03127;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS UNITARIAS;7;10;1.1
03128;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS UNITARIAS;8;11;1
03129;OFICINAS;EDIFICIO EXCLUSIVO;OFICINAS UNITARIAS;9;12;0.9
0321;OFICINAS;EDIFICIO MIXTO;UNIDO A VIVIENDAS;4;7;1.3
0321A;OFICINAS;EDIFICIO MIXTO;UNIDO A VIVIENDAS;1;1;3.075
0321B;OFICINAS;EDIFICIO MIXTO;UNIDO A VIVIENDAS;1;2;2.665
0321C;OFICINAS;EDIFICIO MIXTO;UNIDO A VIVIENDAS;1;3;2.3575
03211;OFICINAS;EDIFICIO MIXTO;UNIDO A VIVIENDAS;1;4;2.05
03212;OFICINAS;EDIFICIO MIXTO;UNIDO A VIVIENDAS;2;5;1.8
03213;OFICINAS;EDIFICIO MIXTO;UNIDO A VIVIENDAS;3;6;1.5
03214;OFICINAS;EDIFICIO MIXTO;UNIDO A VIVIENDAS;4;7;1.3
03215;OFICINAS;EDIFICIO MIXTO;UNIDO A VIVIENDAS;5;8;1.1
03216;OFICINAS;EDIFICIO MIXTO;UNIDO A VIVIENDAS;6;9;1
03217;OFICINAS;EDIFICIO MIXTO;UNIDO A VIVIENDAS;7;10;0.9
03218;OFICINAS;EDIFICIO MIXTO;UNIDO A VIVIENDAS;8;11;0.8
03219;OFICINAS;EDIFICIO MIXTO;UNIDO A VIVIENDAS;9;12;0.7
0322;OFICINAS;EDIFICIO MIXTO;UNIDO A INDUSTRIA;4;7;1
0322A;OFICINAS;EDIFICIO MIXTO;UNIDO A INDUSTRIA;1;1;2.1
0322B;OFICINAS;EDIFICIO MIXTO;UNIDO A INDUSTRIA;1;2;1.82
0322C;OFICINAS;EDIFICIO MIXTO;UNIDO A INDUSTRIA;1;3;1.61
03221;OFICINAS;EDIFICIO MIXTO;UNIDO A INDUSTRIA;1;4;1.4
03222;OFICINAS;EDIFICIO MIXTO;UNIDO A INDUSTRIA;2;5;1.25
03223;OFICINAS;EDIFICIO MIXTO;UNIDO A INDUSTRIA;3;6;1.1
03224;OFICINAS;EDIFICIO MIXTO;UNIDO A INDUSTRIA;4;7;1
03225;OFICINAS;EDIFICIO MIXTO;UNIDO A INDUSTRIA;5;8;0.85
03226;OFICINAS;EDIFICIO MIXTO;UNIDO A INDUSTRIA;6;9;0.65
03227;OFICINAS;EDIFICIO MIXTO;UNIDO A INDUSTRIA;7;10;0.55
03228;OFICINAS;EDIFICIO MIXTO;UNIDO A INDUSTRIA;8;11;0.45
03229;OFICINAS;EDIFICIO MIXTO;UNIDO A INDUSTRIA;9;12;0.35
0331;OFICINAS;BANCA Y SEGUROS;EN EDIFICIO EXCLUSIVO;4;7;2.1
